MC,NC,KC,GFLOPS
256,256,128,1464.48
256,256,144,1243.17
256,256,160,1266.14
256,256,176,1562.42
256,256,192,1126.15
256,256,208,1571.43
256,256,224,1280.96
256,256,240,1487.26
256,256,256,1481.9
256,256,272,1105.5
256,256,288,1499.33
256,256,304,1603.9
256,256,320,1249.64
256,256,336,1503.09
256,256,352,1593.12
256,256,368,1127.53
256,256,384,1513.33
256,256,400,1505.25
256,256,416,1029.23
256,256,432,1617.56
256,256,448,1571.76
256,256,464,1234.43
256,256,480,1513.55
256,256,496,1510.73
256,256,512,1188.49
256,256,528,1587.28
256,256,544,1610.54
256,256,560,1129.31
256,256,576,1509.36
256,256,592,1304.94
256,256,608,1182.82
256,256,624,1505.71
256,256,640,1296.78
256,256,656,1283.46
256,256,672,1501.66
256,256,688,1112.59
256,256,704,1227.51
256,256,720,1278.7
256,256,736,1594.31
256,256,752,1464.89
256,256,768,1233.6
256,256,784,1503.71
256,256,800,1417.68
256,256,816,1137.53
256,256,832,1615.32
256,256,848,1578.26
256,256,864,1067.01
256,256,880,1495.55
256,256,896,1608.95
256,256,912,1022.52
256,256,928,1478.16
256,256,944,1478.06
256,256,960,1261.95
256,256,976,1481.9
256,256,992,919.117
256,256,1008,960.909
288,288,16,1025.32
288,288,32,1064.69
288,288,48,1324.0
288,288,64,1081.18
288,288,80,1469.22
288,288,96,1096.15
288,288,112,1164.42
288,288,128,1526.57
288,288,144,1520.3
288,288,160,1060.0
288,288,176,1529.6
288,288,192,1514.3
288,288,208,1362.11
288,288,224,1320.17
288,288,240,1533.67
288,288,256,1116.36
288,288,272,1565.67
288,288,288,1561.87
288,288,304,1042.88
288,288,320,1591.45
288,288,336,1555.25
288,288,352,1134.55
288,288,368,1591.59
288,288,384,1546.39
288,288,400,1305.7
288,288,416,1572.06
288,288,432,1574.91
288,288,448,1036.79
288,288,464,1565.29
288,288,480,1408.59
288,288,496,1202.86
288,288,512,1520.81
288,288,528,1147.46
288,288,544,1533.66
288,288,560,1572.68
288,288,576,1406.31
288,288,592,1537.04
288,288,608,1385.19
288,288,624,1139.54
288,288,640,1536.5
288,288,656,1243.75
288,288,672,1550.76
